time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-02-26T05:51:17.060Z,39.819,-120.05,12,3.1,ml,7,193.3,,,us,usp000h7q2,2015-01-31T00:22:36.874Z,"Northern California",earthquake,,,,,reviewed,ren,ren
2009-12-23T04:59:54.211Z,39.3133,-119.9949,7.8,3.5,ml,37,44.4,0.038,0.1356,nn,nn00432465,2016-03-22T22:02:26.501Z,"7km NNW of Incline Village, Nevada",earthquake,0.6,1.2,0.48,6,reviewed,nn,nn
2008-11-13T07:42:08.300Z,39.547,-119.94,5.4,3.1,ml,5,105,,,us,usp000gnkd,2015-01-29T21:42:42.950Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-10-27T05:41:46.560Z,39.453,-119.415,8.6,3.5,ml,19,54.3,,,us,usp000gm47,2014-11-07T01:37:32.814Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-07-29T10:34:48.820Z,39.2183333,-120.02,5.303,3.3,mh,4,282,1.216,1.61,ci,ci14383936,2016-03-08T17:48:49.391Z,"2km SSE of Kings Beach, CA",earthquake,37.99,31.61,,0,reviewed,ci,ci
2008-06-17T14:01:49.000Z,39.529,-119.936,4.5,3,ml,14,65.2,,,us,usp000g9wf,2014-11-07T01:36:22.380Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-06-10T00:18:35.070Z,39.549,-119.92,0.4,3,ml,9,104.2,,,us,usp000g92h,2014-11-07T01:36:17.808Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-06-08T17:55:19.421Z,39.5464,-119.9213,1.5,3.8,ml,37,57.63,0.004,0.1068,nn,nn00248760,2015-11-18T22:44:41.299Z,"3km N of Mogul, Nevada",earthquake,0.51,1.2,0.37,4,reviewed,nn,nn
2008-06-08T17:53:40.688Z,39.5487,-119.9192,2.3,3.6,ml,39,56.98,0.006,0.1252,nn,nn00248740,2016-03-09T05:43:10.268Z,"3km N of Mogul, Nevada",earthquake,0.64,0.9,0.18,4,reviewed,nn,nn
2008-06-08T10:13:59.790Z,39.4961667,-120.0315,-0.305,3.21,ml,2,277,1.138,0.11,ci,ci10330249,2016-03-09T12:59:57.452Z,"4km SW of Verdi, NV",earthquake,3.28,31.61,0.25,19,reviewed,ci,ci
2008-05-18T08:44:20.110Z,39.552,-119.918,1.9,3.1,ml,7,104.1,,,us,usp000g750,2014-11-07T01:36:02.401Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-05-15T13:44:51.520Z,39.4553333,-120.0678333,6.405,3.4,mh,6,220,1.113,0.73,ci,ci14368860,2016-03-08T19:24:10.137Z,"10km SW of Verdi, NV",earthquake,5.58,31.61,,0,reviewed,ci,ci
2008-05-08T05:55:01.579Z,39.54,-119.9256,2.6,3.5,ml,50,47.97,0.006,0.1193,nn,nn00247350,2016-03-09T01:27:14.896Z,"2km N of Mogul, Nevada",earthquake,0.46,0.5,0.51,5,reviewed,nn,nn
2008-05-08T05:55:01.000Z,39.542,-119.921,2.8,3.6,mwr,38,45.7,,,us,usp000g5u8,2015-01-28T10:46:38.236Z,"Nevada",earthquake,,,,,reviewed,ren,brk
2008-04-29T16:15:00.280Z,39.509,-119.9636667,-0.325,3.1,mh,2,280,1.189,0.05,ci,ci10321273,2016-03-09T07:08:43.201Z,"2km ESE of Verdi, NV",earthquake,2.14,31.61,,0,reviewed,ci,ci
2008-04-29T06:01:55.820Z,39.4246667,-120.0885,0.745,3.1,mh,2,272,1.1,0.55,ci,ci10321209,2016-03-09T01:26:35.070Z,"14km SW of Verdi, NV",earthquake,7.64,31.61,,0,reviewed,ci,ci
