time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-01-02T16:29:43.470Z,39.207,-119.732,3.2,3.8,ml,,,,,us,usp0004k3z,2014-11-07T00:47:44.308Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1991-01-02T12:46:40.440Z,39.211,-119.738,6,3.4,ml,,,,,us,usp0004k3r,2014-11-07T00:47:44.272Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1991-01-02T12:26:37.740Z,39.212,-119.734,7.8,3.4,ml,,,,,us,usp0004k3q,2014-11-07T00:47:44.265Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1991-01-02T12:07:46.920Z,39.207,-119.728,6.6,3.5,ml,,,,,us,usp0004k3m,2014-11-07T00:47:44.243Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1990-07-25T08:48:44.700Z,39.538,-120.352,9,3.1,ml,,,,,us,usp0004cgz,2014-11-07T00:46:46.127Z,"Northern California",earthquake,,,,,reviewed,brk,brk
1989-01-20T12:10:41.560Z,39.288,-119.672,0.5,3.1,md,,,,,us,usp0003r14,2014-11-07T00:43:28.017Z,"Nevada",earthquake,,,,,reviewed,ren,ren
1988-12-30T20:35:50.970Z,39.298,-119.639,0.1,3.2,md,,,,,us,usp0003qbp,2014-11-07T00:43:19.766Z,"Nevada",earthquake,,,,,reviewed,ren,ren
1988-11-07T10:11:54.470Z,39.41,-120.212,13.4,3.1,md,,,,,us,usp0003nnm,2014-11-07T00:43:05.435Z,"Northern California",earthquake,,,,,reviewed,ren,ren
1988-04-15T20:33:05.000Z,39.18,-119.697,22,3.4,ml,,,,,us,usp0003f28,2014-11-07T00:41:57.645Z,"Nevada",earthquake,,,,,reviewed,brk,brk
1988-03-20T16:16:57.800Z,39.098,-119.667,8,3,ml,,,,,us,usp0003e56,2014-11-07T00:41:49.025Z,"Nevada",earthquake,,,,,reviewed,brk,brk
1987-05-28T02:19:57.270Z,39.443,-119.868,5,3.3,md,,,,1.3,us,usp00035a7,2014-11-07T00:40:26.933Z,"Nevada",earthquake,,,,,reviewed,us,ren
1986-06-28T02:06:29.800Z,39.533,-119.77,13,3.9,md,,,,,us,usp0002vg5,2014-11-07T00:38:35.369Z,"Nevada",earthquake,,,,,reviewed,brk,ren
1985-09-03T22:20:42.930Z,39.465,-119.42,5,3,ml,,,,0.9,us,usp0002jdd,2014-11-07T00:37:07.071Z,"Nevada",earthquake,,,,,reviewed,us,brk
1985-05-28T07:56:45.800Z,39.51,-119.478,5,3.5,mb,,,,,us,usp0002f94,2014-11-07T00:36:37.210Z,"Nevada",earthquake,,,,1,reviewed,brk,us
1983-10-16T20:39:17.240Z,39.659,-120.042,5,3.1,ml,,,,0.6,us,usp0001z1k,2014-11-07T00:33:59.902Z,"Northern California",earthquake,,,,,reviewed,us,brk
1983-07-21T04:49:15.820Z,39.415,-119.819,5,3.2,ml,,,,0.8,us,usp0001wzf,2014-11-07T00:33:30.121Z,"Nevada",earthquake,,,,,reviewed,us,us
1983-07-03T15:08:19.200Z,39.412,-120.217,14,4,ml,,,,,us,usp0001wj7,2014-11-07T00:33:25.090Z,"Northern California",earthquake,,,,,reviewed,brk,brk
1983-07-03T12:44:42.200Z,39.408,-120.223,15,3.4,ml,,,,,us,usp0001wj4,2014-11-07T00:33:25.041Z,"Northern California",earthquake,,,,,reviewed,brk,brk
1983-01-09T14:58:57.010Z,39.115,-119.555,5,3.8,ml,,,,0.9,us,usp0001s3w,2014-11-07T00:32:28.088Z,"Nevada",earthquake,,,,,reviewed,us,brk
1982-06-04T03:12:48.970Z,39.747,-120.051,5,3.3,ml,,,,1.1,us,usp0001mp8,2014-11-07T00:31:24.641Z,"Northern California",earthquake,,,,,reviewed,us,brk
1981-09-30T03:14:03.580Z,39.149,-119.594,8.1,3.4,ml,,,,0.9,us,usp0001g64,2014-11-07T00:30:08.146Z,"Nevada",earthquake,,2.3,,,reviewed,us,brk
1981-04-29T11:55:52.800Z,39.273,-119.768,10,4.2,ml,,,,,us,usp0001deu,2014-11-07T00:29:21.477Z,"Nevada",earthquake,,,,,reviewed,brk,brk
1981-03-28T05:04:37.800Z,39.388,-120.238,5,3.8,ml,,,,,us,usp0001cx5,2014-11-07T00:29:06.347Z,"Northern California",earthquake,,,,,reviewed,brk,brk
1981-03-28T04:39:59.800Z,39.395,-120.23,5,3.3,ml,,,,,us,usp0001cx4,2014-11-07T00:29:06.345Z,"Northern California",earthquake,,,,,reviewed,brk,brk
1980-08-15T04:25:33.100Z,39.579,-120.258,5,3.3,ml,,,,,us,usp00019dh,2014-11-06T23:24:25.247Z,"Northern California",earthquake,,,,,reviewed,us,brk
1979-07-19T16:51:08.200Z,39.466,-119.802,5,3.3,ml,,,,,us,usp00011yb,2014-11-06T23:22:03.966Z,"Nevada",earthquake,,,,,reviewed,us,brk
1979-02-22T15:57:36.090Z,39.6695,-120.1063333,6,4.93,ml,18,329,,8.06,ci,ci3346284,2016-02-01T21:23:45.700Z,"11km W of Cold Springs, NV",earthquake,99,31.61,0.197,4,reviewed,ci,ci
1978-10-10T06:13:53.800Z,39.431,-119.638,5,3,ml,,,,,us,usp0000wy6,2014-11-06T23:21:52.797Z,"Nevada",earthquake,,,,,reviewed,us,brk
1978-01-21T17:22:22.900Z,39.17,-119.588,5,3,ml,,,,,us,usp0000smx,2014-11-06T23:21:46.660Z,"Nevada",earthquake,,,,,reviewed,us,brk
1976-09-03T17:43:47.100Z,39.593,-120.058,2,3.4,ml,,,,,us,usp0000j6g,2014-11-06T23:21:37.017Z,"Northern California",earthquake,,,,,reviewed,b,brk
1976-08-14T07:58:32.400Z,39.446,-119.539,4,3.1,ml,,,,,us,usp0000hu8,2014-11-06T23:21:36.698Z,"Nevada",earthquake,,,,,reviewed,us,brk
1976-06-29T17:12:11.800Z,39.435,-119.545,7,3,ml,,,,,us,usp0000h46,2014-11-06T23:21:36.025Z,"Nevada",earthquake,,,,,reviewed,us,gs
1976-06-29T13:10:48.800Z,39.447,-119.538,6,3.5,ml,,,,,us,usp0000h43,2014-11-06T23:21:36.023Z,"Nevada",earthquake,,,,,reviewed,us,brk
1976-06-24T00:24:45.100Z,39.454,-119.531,2,3.5,ml,,,,,us,usp0000h12,2014-11-06T23:21:35.863Z,"Nevada",earthquake,,,,,reviewed,us,brk
1973-11-29T20:59:41.000Z,39.533,-119.95,5,3,ml,,,,,us,usp00004c0,2014-11-06T23:21:21.634Z,"Nevada",earthquake,,,,,reviewed,r,ren
1966-09-12T16:41:04.000Z,39.385,-120.252,10,5.9,mw,,,,,iscgem,iscgem843363,2015-05-13T18:53:00.000Z,"Northern California",earthquake,,,,,automatic,iscgem,iscgem
